id,hotel,precio,puntaje,link_hotel,provincia
29,Resort Playa Azul Departamentos frente al mar,US$140,9.3,https://www.booking.com/hotel/ec/resort-playa-azul.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=208270701_357917003_2_0_0&highlighted_blocks=208270701_357917003_2_0_0&matching_block_id=208270701_357917003_2_0_0&sr_pri_blocks=208270701_357917003_2_0_0__14000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
30,Escapaditas a la Playa,US$90,8.8,https://www.booking.com/hotel/ec/escapaditas-a-la-playa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=156665701_200511961_3_0_0&highlighted_blocks=156665701_200511961_3_0_0&matching_block_id=156665701_200511961_3_0_0&sr_pri_blocks=156665701_200511961_3_0_0__9000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
31,Hotel Oceanic Lodge,US$90,8.5,https://www.booking.com/hotel/ec/oceanic-lodge.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=194908121_237565169_2_2_0&highlighted_blocks=194908121_237565169_2_2_0&matching_block_id=194908121_237565169_2_2_0&sr_pri_blocks=194908121_237565169_2_2_0__9025&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
32,Seaside Garden Ecolodge Mompiche,US$70,9.0,https://www.booking.com/hotel/ec/seaside-garden-lodge-mompiche.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=188825203_272938554_2_42_0&highlighted_blocks=188825203_272938554_2_42_0&matching_block_id=188825203_272938554_2_42_0&sr_pri_blocks=188825203_272938554_2_42_0__7000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
33,Hotel RC Tonsupa,US$90,8.6,https://www.booking.com/hotel/ec/rc-tonsupa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=241659010_193960206_2_42_0&highlighted_blocks=241659010_193960206_2_42_0&matching_block_id=241659010_193960206_2_42_0&sr_pri_blocks=241659010_193960206_2_42_0__8960&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
34,Departamento Frente al Mar Diamond Beach,US$257,9.4,https://www.booking.com/hotel/ec/diamond-beach-tonsupa1234.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=276037501_362561522_2_0_0&highlighted_blocks=276037501_362561522_2_0_0&matching_block_id=276037501_362561522_2_0_0&sr_pri_blocks=276037501_362561522_2_0_0__25650&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
35,Hotel Almond Beach,US$60,8.7,https://www.booking.com/hotel/ec/almond-beach.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=206241720_335350452_2_2_0&highlighted_blocks=206241720_335350452_2_2_0&matching_block_id=206241720_335350452_2_2_0&sr_pri_blocks=206241720_335350452_2_2_0__6000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
36,Cabañas Ecologicas Cayapas,US$100,8.9,https://www.booking.com/hotel/ec/hosteria-cayapas.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=157901207_176492114_5_0_0&highlighted_blocks=157901207_176492114_5_0_0&matching_block_id=157901207_176492114_5_0_0&sr_pri_blocks=157901207_176492114_5_0_0__10000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
37,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,US$187,7.5,https://www.booking.com/hotel/ec/resort-playa-almendro-tonsupa-4-habitaciones.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=752831301_361584087_5_0_0&highlighted_blocks=752831301_361584087_5_0_0&matching_block_id=752831301_361584087_5_0_0&sr_pri_blocks=752831301_361584087_5_0_0__18720&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
38,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,US$258,9.1,https://www.booking.com/hotel/ec/playa-azul-resort-tonsupa-atacames.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=687622501_365747132_3_0_0&highlighted_blocks=687622501_365747132_3_0_0&matching_block_id=687622501_365747132_3_0_0&sr_pri_blocks=687622501_365747132_3_0_0__25800&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
39,Tonsupa Diamond Beach Apart - Hotel,US$272,8.7,https://www.booking.com/hotel/ec/tonsupa-diamond-beach-apart.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=305173001_113334619_2_0_0&highlighted_blocks=305173001_113334619_2_0_0&matching_block_id=305173001_113334619_2_0_0&sr_pri_blocks=305173001_113334619_2_0_0__27200&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
40,Aparthotel Oleaje,US$79,8.9,https://www.booking.com/hotel/ec/cabanas-oleaje.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=430162108_295543359_2_2_0&highlighted_blocks=430162108_295543359_2_2_0&matching_block_id=430162108_295543359_2_2_0&sr_pri_blocks=430162108_295543359_2_2_0__7920&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
41,Hotel Makana Resort,US$230,8.4,https://www.booking.com/hotel/ec/makana.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=88779602_193658734_2_1_0&highlighted_blocks=88779602_193658734_2_1_0&matching_block_id=88779602_193658734_2_1_0&sr_pri_blocks=88779602_193658734_2_1_0__23000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
42,La Bocana,US$68,8.7,https://www.booking.com/hotel/ec/la-bocana.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=305038101_288369263_2_0_0&highlighted_blocks=305038101_288369263_2_0_0&matching_block_id=305038101_288369263_2_0_0&sr_pri_blocks=305038101_288369263_2_0_0__6800&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
43,Departamentos frente al mar Resort Playa Azul,US$228,9.6,https://www.booking.com/hotel/ec/suite-1802b-resort-playa-azul.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=496852902_358161557_3_0_0&highlighted_blocks=496852902_358161557_3_0_0&matching_block_id=496852902_358161557_3_0_0&sr_pri_blocks=496852902_358161557_3_0_0__22800&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
44,Suite Makana #403,US$150,8.6,https://www.booking.com/hotel/ec/suite-makana-resort-403.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=198782701_334448564_4_0_0&highlighted_blocks=198782701_334448564_4_0_0&matching_block_id=198782701_334448564_4_0_0&sr_pri_blocks=198782701_334448564_4_0_0__15040&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
45,Dep. Torre Sol Tropical Tonsupa,US$140,-1,https://www.booking.com/hotel/ec/dep-torre-sol-tropical-tonsupa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=952097901_367797959_2_0_0&highlighted_blocks=952097901_367797959_2_0_0&matching_block_id=952097901_367797959_2_0_0&sr_pri_blocks=952097901_367797959_2_0_0__14000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
46,Caramba Hospedaje,US$108,8.6,https://www.booking.com/hotel/ec/caramba-hospedaje.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=731985901_341786475_0_41_0&highlighted_blocks=731985901_341786475_0_41_0&matching_block_id=731985901_341786475_0_41_0&sr_pri_blocks=731985901_341786475_0_41_0__10800&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
47,Hotel Salduba,US$60,9.1,https://www.booking.com/hotel/ec/salduba-tonsupa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=231040301_109031314_2_0_0&highlighted_blocks=231040301_109031314_2_0_0&matching_block_id=231040301_109031314_2_0_0&sr_pri_blocks=231040301_109031314_2_0_0__6000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
48,Casa del mar,US$54,6.7,https://www.booking.com/hotel/ec/casa-del-mar-tonsupa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=914957003_362910508_2_0_0&highlighted_blocks=914957003_362910508_2_0_0&matching_block_id=914957003_362910508_2_0_0&sr_pri_blocks=914957003_362910508_2_0_0__5354&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
49,Tus Vacaciones en Tonsupa Ecuador.,US$114,9.1,https://www.booking.com/hotel/ec/tus-vacaciones-en-tonsupa-ecuador.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=749184501_331181420_6_0_0&highlighted_blocks=749184501_331181420_6_0_0&matching_block_id=749184501_331181420_6_0_0&sr_pri_blocks=749184501_331181420_6_0_0__11400&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
50,Departamentos frente al mar en Resort Playa Azul-Tonsupa,US$140,8.6,https://www.booking.com/hotel/ec/edificios-playa-azul-tonsupa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=273001001_119199248_4_0_0&highlighted_blocks=273001001_119199248_4_0_0&matching_block_id=273001001_119199248_4_0_0&sr_pri_blocks=273001001_119199248_4_0_0__14000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
51,La Facha Hostal Restaurant Surf,US$62,8.4,https://www.booking.com/hotel/ec/la-facha-hostal-restaurant-surf.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=107381307_338009137_0_42_0&highlighted_blocks=107381307_338009137_0_42_0&matching_block_id=107381307_338009137_0_42_0&sr_pri_blocks=107381307_338009137_0_42_0__6166&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
52,"Hotel Casa Arnaldo ""Esmeraldas""",US$150,8.9,https://www.booking.com/hotel/ec/casa-arnaldo-esmeraldas.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=476692707_195997650_0_1_0&highlighted_blocks=476692707_195997650_0_1_0&matching_block_id=476692707_195997650_0_1_0&sr_pri_blocks=476692707_195997650_0_1_0__15000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
53,Hotel la Barca,US$60,8.8,https://www.booking.com/hotel/ec/la-barca.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=152433503_362667476_0_2_0&highlighted_blocks=152433503_362667476_0_2_0&matching_block_id=152433503_362667476_0_2_0&sr_pri_blocks=152433503_362667476_0_2_0__6000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
54,Resort Playa Azul Departamentos frente al mar,US$140,9.3,https://www.booking.com/hotel/ec/resort-playa-azul.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=208270701_357917003_2_0_0&highlighted_blocks=208270701_357917003_2_0_0&matching_block_id=208270701_357917003_2_0_0&sr_pri_blocks=208270701_357917003_2_0_0__14000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
55,Escapaditas a la Playa,US$90,8.8,https://www.booking.com/hotel/ec/escapaditas-a-la-playa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=156665701_200511961_3_0_0&highlighted_blocks=156665701_200511961_3_0_0&matching_block_id=156665701_200511961_3_0_0&sr_pri_blocks=156665701_200511961_3_0_0__9000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
56,Hotel Oceanic Lodge,US$90,8.5,https://www.booking.com/hotel/ec/oceanic-lodge.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=194908121_237565169_2_2_0&highlighted_blocks=194908121_237565169_2_2_0&matching_block_id=194908121_237565169_2_2_0&sr_pri_blocks=194908121_237565169_2_2_0__9025&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
